Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Prochlorococcus],unclassified Prochlorococcus,NA,2627481,75.9,75.9,81%,9e-16,26.25,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074160134.1?report=genbank&log$=prottop&blast_rank=856&RID=2AYZ3C4E016"",""WP_074160134.1"")"
Nif11-like leader peptide family RiPP precursor [Tolypothrix campylonemoides],Tolypothrix campylonemoides,NA,1136105,76.3,76.3,98%,9e-16,38.38,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041039592.1?report=genbank&log$=prottop&blast_rank=857&RID=2AYZ3C4E016"",""WP_041039592.1"")"
hypothetical protein BZZ01_09395 [Nostocales cyanobacterium HT-58-2],Nostocales cyanobacterium HT-58-2,NA,1940762,76.7,76.7,89%,9e-16,31.25,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ARV58823.1?report=genbank&log$=prottop&blast_rank=858&RID=2AYZ3C4E016"",""ARV58823.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.9,75.9,88%,9e-16,24.14,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537629.1?report=genbank&log$=prottop&blast_rank=859&RID=2AYZ3C4E016"",""WP_186537629.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. NIES-2111],Nostoc sp. NIES-2111,NA,1973475,75.9,75.9,91%,9e-16,22.22,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096681725.1?report=genbank&log$=prottop&blast_rank=860&RID=2AYZ3C4E016"",""WP_096681725.1"")"
Nif11-like leader peptide family natural product precursor [Tolypothrix sp. Co-bin9],Tolypothrix sp. Co-bin9,NA,2768887,75.6,75.6,84%,1e-15,24.10,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD0264148.1?report=genbank&log$=prottop&blast_rank=861&RID=2AYZ3C4E016"",""MBD0264148.1"")"
Nif11-like leader peptide family natural product precursor [Microcystis aeruginosa LG13-03],Microcystis aeruginosa LG13-03,NA,2685978,77.1,77.1,89%,1e-15,28.85,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NCR06815.1?report=genbank&log$=prottop&blast_rank=862&RID=2AYZ3C4E016"",""NCR06815.1"")"
Nitrogen fixation protein of unknown function [Synechococcus sp. MIT S9504],Synechococcus sp. MIT S9504,NA,1801628,75.9,75.9,77%,1e-15,34.21,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZR82594.1?report=genbank&log$=prottop&blast_rank=863&RID=2AYZ3C4E016"",""KZR82594.1"")"
nif11-like leader peptide domain protein [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,75.9,75.9,97%,1e-15,24.51,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNI84242.1?report=genbank&log$=prottop&blast_rank=864&RID=2AYZ3C4E016"",""QNI84242.1"")"
Nif11-like leader peptide family natural product precursor [Desertifilum sp. SIO1I2],Desertifilum sp. SIO1I2,NA,2607799,75.6,75.6,94%,1e-15,24.73,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NES94288.1?report=genbank&log$=prottop&blast_rank=865&RID=2AYZ3C4E016"",""NES94288.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,75.6,75.6,86%,1e-15,30.59,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066906630.1?report=genbank&log$=prottop&blast_rank=866&RID=2AYZ3C4E016"",""WP_066906630.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,75.9,75.9,74%,1e-15,28.77,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186596304.1?report=genbank&log$=prottop&blast_rank=867&RID=2AYZ3C4E016"",""WP_186596304.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. RS9916],Synechococcus sp. RS9916,NA,221359,75.9,75.9,88%,1e-15,27.59,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_050752282.1?report=genbank&log$=prottop&blast_rank=868&RID=2AYZ3C4E016"",""WP_050752282.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,75.6,75.6,83%,1e-15,24.39,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067327542.1?report=genbank&log$=prottop&blast_rank=869&RID=2AYZ3C4E016"",""WP_067327542.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,75.9,75.9,91%,1e-15,27.08,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186596308.1?report=genbank&log$=prottop&blast_rank=870&RID=2AYZ3C4E016"",""WP_186596308.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Nostocales],Nostocales,NA,1161,75.6,75.6,91%,1e-15,21.11,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096643160.1?report=genbank&log$=prottop&blast_rank=871&RID=2AYZ3C4E016"",""WP_096643160.1"")"
Nif11-like leader peptide family natural product precursor [Microcoleus sp. SU_5_3],Microcoleus sp. SU_5_3,NA,2720482,75.9,75.9,79%,1e-15,31.71,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJK66416.1?report=genbank&log$=prottop&blast_rank=872&RID=2AYZ3C4E016"",""NJK66416.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,76.3,76.3,71%,1e-15,30.00,114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537888.1?report=genbank&log$=prottop&blast_rank=873&RID=2AYZ3C4E016"",""WP_186537888.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-60],Synechococcus sp. A15-60,NA,1050655,75.6,75.6,90%,1e-15,26.97,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186500291.1?report=genbank&log$=prottop&blast_rank=874&RID=2AYZ3C4E016"",""WP_186500291.1"")"
Nif11-like leader peptide family natural product precursor [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,75.9,75.9,93%,1e-15,38.04,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RJR43266.1?report=genbank&log$=prottop&blast_rank=875&RID=2AYZ3C4E016"",""RJR43266.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. RF31YmG],Nostoc sp. RF31YmG,NA,1932668,75.6,75.6,91%,1e-15,22.22,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086833983.1?report=genbank&log$=prottop&blast_rank=876&RID=2AYZ3C4E016"",""WP_086833983.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,75.6,75.6,86%,1e-15,23.53,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066905241.1?report=genbank&log$=prottop&blast_rank=877&RID=2AYZ3C4E016"",""WP_066905241.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,75.6,75.6,89%,1e-15,23.86,89,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066907316.1?report=genbank&log$=prottop&blast_rank=878&RID=2AYZ3C4E016"",""WP_066907316.1"")"
Nif11-like leader peptide family RiPP precursor [Scytonema hofmannii],Scytonema hofmannii,NA,34078,75.2,75.2,84%,1e-15,27.71,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017745303.1?report=genbank&log$=prottop&blast_rank=879&RID=2AYZ3C4E016"",""WP_017745303.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. NOUM97013],Synechococcus sp. NOUM97013,NA,1442555,77.9,77.9,89%,2e-15,22.73,168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186479250.1?report=genbank&log$=prottop&blast_rank=880&RID=2AYZ3C4E016"",""WP_186479250.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A18-25c],Synechococcus sp. A18-25c,NA,1866938,76.3,76.3,86%,2e-15,25.88,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186470943.1?report=genbank&log$=prottop&blast_rank=881&RID=2AYZ3C4E016"",""WP_186470943.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc sp. NIES-3756],Nostoc sp. NIES-3756,NA,1751286,75.2,75.2,91%,2e-15,22.22,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067766174.1?report=genbank&log$=prottop&blast_rank=882&RID=2AYZ3C4E016"",""WP_067766174.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. A15-60],Synechococcus sp. A15-60,NA,1050655,75.2,75.2,76%,2e-15,32.00,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186500471.1?report=genbank&log$=prottop&blast_rank=883&RID=2AYZ3C4E016"",""WP_186500471.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.6,75.6,71%,2e-15,22.86,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537628.1?report=genbank&log$=prottop&blast_rank=884&RID=2AYZ3C4E016"",""WP_186537628.1"")"
Nif11-like leader peptide family natural product precursor [Leptolyngbya sp. SIO1E4],Leptolyngbya sp. SIO1E4,NA,2607768,75.9,75.9,77%,2e-15,39.76,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE7383673.1?report=genbank&log$=prottop&blast_rank=885&RID=2AYZ3C4E016"",""MBE7383673.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. NOUM97013],Synechococcus sp. NOUM97013,NA,1442555,77.5,77.5,92%,2e-15,20.65,159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186480156.1?report=genbank&log$=prottop&blast_rank=886&RID=2AYZ3C4E016"",""WP_186480156.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.2,75.2,90%,2e-15,24.18,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186537657.1?report=genbank&log$=prottop&blast_rank=887&RID=2AYZ3C4E016"",""WP_186537657.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.2,75.2,79%,2e-15,26.92,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540154.1?report=genbank&log$=prottop&blast_rank=888&RID=2AYZ3C4E016"",""WP_186540154.1"")"
lantipeptide [Deltaproteobacteria bacterium],Deltaproteobacteria bacterium,NA,2026735,75.2,75.2,77%,2e-15,26.32,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAJ62118.1?report=genbank&log$=prottop&blast_rank=889&RID=2AYZ3C4E016"",""MAJ62118.1"")"
Nif11-like leader peptide family RiPP precursor [Anabaena azotica],Anabaena azotica,NA,197653,75.2,75.2,91%,2e-15,21.11,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190465818.1?report=genbank&log$=prottop&blast_rank=890&RID=2AYZ3C4E016"",""WP_190465818.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.2,75.2,90%,2e-15,21.35,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538665.1?report=genbank&log$=prottop&blast_rank=891&RID=2AYZ3C4E016"",""WP_186538665.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-U3-1],Synechococcus sp. BIOS-U3-1,NA,1400865,74.8,74.8,71%,2e-15,31.43,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186490023.1?report=genbank&log$=prottop&blast_rank=892&RID=2AYZ3C4E016"",""WP_186490023.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. WH 8101],Synechococcus sp. WH 8101,NA,59932,75.2,75.2,80%,2e-15,24.05,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130129437.1?report=genbank&log$=prottop&blast_rank=893&RID=2AYZ3C4E016"",""WP_130129437.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,75.2,75.2,81%,2e-15,20.00,89,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115121539.1?report=genbank&log$=prottop&blast_rank=894&RID=2AYZ3C4E016"",""WP_115121539.1"")"
Nif11-like leader peptide family natural product precursor [Okeania sp. SIO2F4],Okeania sp. SIO2F4,NA,2607790,77.1,77.1,98%,2e-15,33.65,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NES02747.1?report=genbank&log$=prottop&blast_rank=895&RID=2AYZ3C4E016"",""NES02747.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.2,75.2,81%,2e-15,18.75,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186538107.1?report=genbank&log$=prottop&blast_rank=896&RID=2AYZ3C4E016"",""WP_186538107.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc punctiforme],Nostoc punctiforme,NA,272131,75.6,75.6,76%,2e-15,33.33,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012409657.1?report=genbank&log$=prottop&blast_rank=897&RID=2AYZ3C4E016"",""WP_012409657.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,75.2,75.2,86%,2e-15,23.33,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540420.1?report=genbank&log$=prottop&blast_rank=898&RID=2AYZ3C4E016"",""WP_186540420.1"")"
Nif11-like leader peptide family RiPP precursor [Fortiea contorta],Fortiea contorta,NA,1892405,77.1,77.1,98%,2e-15,24.81,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017651501.1?report=genbank&log$=prottop&blast_rank=899&RID=2AYZ3C4E016"",""WP_017651501.1"")"
hypothetical protein PTH_2367 [Pelotomaculum thermopropionicum SI],Pelotomaculum thermopropionicum SI,NA,370438,75.2,75.2,95%,2e-15,29.79,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF60548.1?report=genbank&log$=prottop&blast_rank=900&RID=2AYZ3C4E016"",""BAF60548.1"")"
Nif11-like leader peptide family natural product precursor [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,75.9,75.9,80%,2e-15,22.78,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE5797889.1?report=genbank&log$=prottop&blast_rank=901&RID=2AYZ3C4E016"",""MBE5797889.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,75.2,75.2,71%,2e-15,25.71,98,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011130265.1?report=genbank&log$=prottop&blast_rank=902&RID=2AYZ3C4E016"",""WP_011130265.1"")"
Nif11-like leader peptide family RiPP precursor [Hydrococcus rivularis],Hydrococcus rivularis,NA,1616834,76.7,76.7,100%,2e-15,26.42,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073599639.1?report=genbank&log$=prottop&blast_rank=903&RID=2AYZ3C4E016"",""WP_073599639.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,74.8,74.8,94%,2e-15,21.51,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114994550.1?report=genbank&log$=prottop&blast_rank=904&RID=2AYZ3C4E016"",""WP_114994550.1"")"
Nif11-like leader peptide family natural product precursor [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,75.6,75.6,88%,3e-15,25.56,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NWJ46209.1?report=genbank&log$=prottop&blast_rank=905&RID=2AYZ3C4E016"",""NWJ46209.1"")"
Nif11-like leader peptide family RiPP precursor [Fischerella muscicola],Fischerella muscicola,NA,92938,74.8,74.8,84%,3e-15,26.51,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016861992.1?report=genbank&log$=prottop&blast_rank=906&RID=2AYZ3C4E016"",""WP_016861992.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc punctiforme],Nostoc punctiforme,NA,272131,75.2,75.2,76%,3e-15,26.67,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012409655.1?report=genbank&log$=prottop&blast_rank=907&RID=2AYZ3C4E016"",""WP_012409655.1"")"
Nif11-like leader peptide family RiPP precursor [Gloeocapsopsis sp. AAB1 = 1H9],Gloeocapsopsis sp. AAB1 = 1H9,NA,1433147,74.4,74.4,85%,3e-15,21.43,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_105220835.1?report=genbank&log$=prottop&blast_rank=908&RID=2AYZ3C4E016"",""WP_105220835.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Cyanobacteria bacterium UBA8553],Cyanobacteria bacterium UBA8553,NA,2055771,75.6,75.6,84%,3e-15,31.03,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAA33511.1?report=genbank&log$=prottop&blast_rank=909&RID=2AYZ3C4E016"",""HAA33511.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9509],Synechococcus sp. MIT S9509,NA,1801630,75.2,75.2,52%,3e-15,21.57,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082826331.1?report=genbank&log$=prottop&blast_rank=910&RID=2AYZ3C4E016"",""WP_082826331.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,74.8,74.8,86%,3e-15,21.18,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066906474.1?report=genbank&log$=prottop&blast_rank=911&RID=2AYZ3C4E016"",""WP_066906474.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9509],Synechococcus sp. MIT S9509,NA,1801630,74.8,74.8,81%,3e-15,27.50,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066912492.1?report=genbank&log$=prottop&blast_rank=912&RID=2AYZ3C4E016"",""WP_066912492.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-U3-1],Synechococcus sp. BIOS-U3-1,NA,1400865,74.8,74.8,74%,3e-15,27.40,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186492418.1?report=genbank&log$=prottop&blast_rank=913&RID=2AYZ3C4E016"",""WP_186492418.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,74.8,74.8,83%,3e-15,24.39,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114992759.1?report=genbank&log$=prottop&blast_rank=914&RID=2AYZ3C4E016"",""WP_114992759.1"")"
Nif11 family protein [Desulfallas arcticus],Desulfallas arcticus,NA,341036,75.6,75.6,81%,3e-15,30.21,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092468943.1?report=genbank&log$=prottop&blast_rank=915&RID=2AYZ3C4E016"",""WP_092468943.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,74.4,74.4,93%,3e-15,22.83,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540133.1?report=genbank&log$=prottop&blast_rank=916&RID=2AYZ3C4E016"",""WP_186540133.1"")"
Nif11-like leader peptide family RiPP precursor [Nostoc flagelliforme],Nostoc flagelliforme,NA,1306274,75.2,75.2,85%,3e-15,32.61,105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190943442.1?report=genbank&log$=prottop&blast_rank=917&RID=2AYZ3C4E016"",""WP_190943442.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,75.2,75.2,84%,3e-15,21.69,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115121538.1?report=genbank&log$=prottop&blast_rank=918&RID=2AYZ3C4E016"",""WP_115121538.1"")"
Nif11-like leader peptide family RiPP precursor [Nitrospirae bacterium],Nitrospirae bacterium,NA,2026887,74.8,74.8,81%,3e-15,38.27,94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBF0516259.1?report=genbank&log$=prottop&blast_rank=919&RID=2AYZ3C4E016"",""MBF0516259.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,74.8,74.8,82%,4e-15,28.40,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066912531.1?report=genbank&log$=prottop&blast_rank=920&RID=2AYZ3C4E016"",""WP_066912531.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Calothrix],Calothrix,NA,1186,74.4,74.4,91%,4e-15,20.00,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190539824.1?report=genbank&log$=prottop&blast_rank=921&RID=2AYZ3C4E016"",""WP_190539824.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW105],Synechococcus sp. UW105,NA,337067,74.4,74.4,80%,4e-15,26.58,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115120369.1?report=genbank&log$=prottop&blast_rank=922&RID=2AYZ3C4E016"",""WP_115120369.1"")"
Nif11-like leader peptide family RiPP precursor [Fischerella thermalis],Fischerella thermalis,NA,372787,74.4,74.4,84%,4e-15,22.89,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102172691.1?report=genbank&log$=prottop&blast_rank=923&RID=2AYZ3C4E016"",""WP_102172691.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Nostoc],unclassified Nostoc,NA,2593658,74.4,74.4,91%,4e-15,20.00,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190710373.1?report=genbank&log$=prottop&blast_rank=924&RID=2AYZ3C4E016"",""WP_190710373.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,74.4,74.4,87%,4e-15,23.26,89,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540319.1?report=genbank&log$=prottop&blast_rank=925&RID=2AYZ3C4E016"",""WP_186540319.1"")"
Conserved hypothetical protein [Synechococcus sp. WH 7803],Synechococcus sp. WH 7803,NA,32051,75.6,75.6,82%,4e-15,25.93,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK23516.1?report=genbank&log$=prottop&blast_rank=926&RID=2AYZ3C4E016"",""CAK23516.1"")"
Nif11-like leader peptide family RiPP precursor [Aliterella atlantica],Aliterella atlantica,NA,1827278,74.0,74.0,84%,4e-15,21.69,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_045053666.1?report=genbank&log$=prottop&blast_rank=927&RID=2AYZ3C4E016"",""WP_045053666.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW179A],Synechococcus sp. UW179A,NA,2575510,74.4,74.4,93%,4e-15,22.83,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_114993438.1?report=genbank&log$=prottop&blast_rank=928&RID=2AYZ3C4E016"",""WP_114993438.1"")"
lantipeptide [Cyanobium sp. NAT70],Cyanobium sp. NAT70,NA,2024872,74.8,74.8,86%,4e-15,25.88,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAR06786.1?report=genbank&log$=prottop&blast_rank=929&RID=2AYZ3C4E016"",""MAR06786.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,74.0,74.0,78%,4e-15,31.17,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186540422.1?report=genbank&log$=prottop&blast_rank=930&RID=2AYZ3C4E016"",""WP_186540422.1"")"
